
This hub-height turbulence-parameter file was generated by TurbSim (v2.00.06a-bjj, 6-Jun-2016) on 07-Jun-2016 at 10:43:29.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  16.50   12.327   12.334   12.366    0.420    0.883    0.150    0.420    0.883    0.133    0.063    0.371    0.490    0.200
  16.55   12.068   12.070   12.102    0.225    0.870   -0.109    0.225    0.870   -0.095   -0.025    0.196    0.410    0.110
  16.60   11.945   11.945   11.982   -0.020    0.947   -0.232   -0.020    0.947   -0.220    0.005   -0.019    0.476    0.111
  16.65   11.965   11.965   11.993    0.058    0.821   -0.212    0.058    0.821   -0.174   -0.012    0.047    0.361    0.090
  16.70   12.135   12.139   12.166    0.304    0.809   -0.042    0.304    0.809   -0.034   -0.013    0.246    0.374    0.124
  16.75   12.390   12.392   12.416    0.217    0.766    0.213    0.217    0.766    0.163    0.046    0.166    0.339    0.119
  16.80   12.297   12.299   12.321    0.192    0.741    0.120    0.192    0.741    0.089    0.023    0.142    0.300    0.085
  16.85   12.022   12.023   12.044    0.109    0.712   -0.155    0.109    0.712   -0.110   -0.017    0.078    0.271    0.068
  16.90   12.187   12.193   12.230    0.399    0.950    0.010    0.399    0.950    0.009    0.004    0.379    0.531    0.190
  16.95   12.201   12.202   12.219    0.157    0.641    0.024    0.157    0.641    0.015    0.004    0.101    0.218    0.051
  17.00   12.065   12.069   12.081    0.304    0.542   -0.112    0.304    0.542   -0.061   -0.034    0.165    0.199    0.089
  17.05   11.666   11.666   11.692    0.045    0.788   -0.511    0.045    0.788   -0.403   -0.023    0.035    0.442    0.203
  17.10   11.856   11.861   11.865    0.343    0.318   -0.321    0.343    0.318   -0.102   -0.110    0.109    0.161    0.093
  17.15   11.564   11.565   11.569    0.145    0.328   -0.613    0.145    0.328   -0.201   -0.089    0.048    0.252    0.112
  17.20   11.889   11.894   11.903    0.345    0.448   -0.288    0.345    0.448   -0.129   -0.099    0.155    0.202    0.112
  17.25   11.756   11.758   11.771    0.237    0.542   -0.421    0.237    0.542   -0.228   -0.100    0.129    0.264    0.140
  17.30   11.587   11.591   11.601    0.312    0.478   -0.590    0.312    0.478   -0.282   -0.184    0.149    0.337    0.184
  17.35   11.801   11.802   11.809    0.139    0.407   -0.376    0.139    0.407   -0.153   -0.052    0.057    0.163    0.086
  17.40   11.922   11.923   11.931    0.157    0.435   -0.255    0.157    0.435   -0.111   -0.040    0.069    0.140    0.068
  17.45   12.095   12.096   12.103    0.133    0.398   -0.082    0.133    0.398   -0.033   -0.011    0.053    0.092    0.032
  17.50   12.063   12.067   12.090    0.322    0.749   -0.114    0.322    0.749   -0.086   -0.037    0.241    0.339    0.129
  17.55   11.837   11.838   11.853    0.157    0.583   -0.340    0.157    0.583   -0.198   -0.053    0.092    0.240    0.112
  17.60   11.746   11.746   11.768   -0.039    0.732   -0.431   -0.039    0.732   -0.316    0.017   -0.029    0.362    0.159
  17.65   11.579   11.581   11.603   -0.237    0.711   -0.598   -0.237    0.711   -0.426    0.142   -0.168    0.460    0.240
  17.70   11.692   11.699   11.744    0.422    1.020   -0.485    0.422    1.020   -0.495   -0.205    0.430    0.727    0.344
  17.75   11.960   11.979   12.022    0.687    1.008   -0.217    0.687    1.008   -0.219   -0.149    0.693    0.768    0.371
  17.80   12.118   12.127   12.147    0.462    0.695   -0.059    0.462    0.695   -0.041   -0.027    0.321    0.350    0.162
